Rk,Player,Pos,MP,PER,TSx,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,BPM,VORP,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,PIPM,X1,X2
1,Aaron Gordon,PF,1914,14.8,0.511,0.311,0.28,5.6,19.6,12.4,17.2,1.3,1.7,10.3,20.6,3.7,2.5,6.2,0.19,3.2,2,0.46,135,0.09,220,0.37,133,-0.05,277,-0.32,405,0.27,119,-0.37,394,0.55,55,-0.93,504,0.54,132,0.4,113,0.14,185,-0.33,401,-0.74,505,0.41,50,-0.22,306,-0.64,424,0.43,129,-0.12,0.820195293,-0.047094439
2,Aaron Holiday,PG,1368,11.7,0.517,0.409,0.145,1.7,8.9,5.3,19.5,1.6,0.8,12.4,19.4,4.6,3.6,8.1,0.175,3.6,3.2,0.01,253,-0.26,363,0.24,159,0.55,76,0.3,109,0.25,127,0.31,132,0.68,36,-0.36,421,0.09,229,0.18,177,-0.1,284,0.47,75,-0.14,355,0.61,17,0.99,82,0.17,199,0.82,69,-0.48,-2.32121722,1.02540633
3,Abdel Nader,SF,756,11.2,0.58,0.477,0.282,2.1,10.8,6.6,6.6,1.3,2.3,12.7,16.5,3.1,1.4,4.4,0.122,1.3,1.5,-1.84,500,-0.34,388,-1.5,504,-0.55,439,0.18,160,-0.73,494,0.13,186,0.59,48,-0.46,445,-0.85,436,0.55,75,-1.4,503,-0.68,476,-0.51,475,-0.17,377,-1.63,483,0.12,219,-1.75,506,-3.17,0.589059583,-0.060141017
4,Admiral Schofield,SF,293,6.8,0.514,0.627,0.173,2.2,10.9,6.4,6.2,1.3,0.9,8,12.5,0.5,0.3,0.7,0.07,-2.6,-0.1,-0.04,261,0.01,268,-0.03,259,-0.16,319,-0.06,299,-0.09,311,-0.86,480,-0.69,489,-0.17,352,-1.19,470,-0.78,469,-0.41,394,0.28,118,0.21,127,0.07,191,-0.42,351,-0.26,349,-0.17,312,-1.9,-1.09833177,-1.62420019
5,Al Horford,C,1848,15.6,0.526,0.404,0.112,5.5,19.1,12.3,19.2,1.4,2.5,8.7,17.6,4.3,2.8,7.1,0.207,2.1,1.7,0.49,127,0.43,102,0.05,219,1.17,13,0.3,110,0.87,13,-1.07,493,0.21,133,-1.28,512,0.04,241,0.37,117,-0.33,364,0.01,272,0.16,151,-0.16,370,1.04,74,0.77,69,0.27,159,1.84,1.29070618,1.04187651
6,Alec Burks,SG,1612,16,0.549,0.389,0.358,2.8,15.2,8.8,16.9,1.7,0.9,9.5,23.8,0.1,0.1,0.1,0.053,-0.6,0,-1.68,495,-0.11,320,-1.57,508,-1.19,499,0.02,250,-1.21,514,0.6,74,-0.11,319,0.72,31,-0.3,331,-0.2,358,-0.1,282,0.03,242,-0.14,358,0.17,129,-1.36,466,-0.17,324,-1.18,484,-1.71,-1.40256582,-0.362613064
7,Alex Caruso,PG,1032,11,0.538,0.412,0.292,1.5,10.1,5.9,12.6,2.8,1.4,13.6,13.9,0,0,0,-0.031,-3.4,0,1.04,68,0.84,47,0.2,167,1.35,8,0.95,7,0.41,80,0.26,149,-0.38,426,0.64,47,-0.07,277,0.4,111,-0.47,404,0.19,153,0.31,82,-0.12,346,2.01,22,1.45,19,0.55,107,0.59,-2.52174105,-0.591939597
8,Alex Len,C,895,18,0.596,0.185,0.301,11.4,24.5,17.9,8.1,1.2,4.5,12.8,18.3,5.6,4.8,10.4,0.282,11.5,6,0.47,129,0.97,33,-0.49,409,0.1,195,0.74,19,-0.64,485,-0.42,404,-0.04,271,-0.38,425,0.51,138,-0.07,302,0.58,85,-1.01,503,-0.7,501,-0.31,428,-0.31,333,0.86,56,-1.16,482,-0.54,3.97246612,1.00211018
9,Alfonzo McKinnie,SF,593,8.7,0.493,0.38,0.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,1.8,3.3,5.1,0.13,0.9,1.4,-1.08,463,-0.81,458,-0.27,356,-0.23,356,-0.5,459,0.27,121,-0.97,486,-0.49,456,-0.47,448,0.22,196,-0.41,416,0.63,75,-0.21,363,0.03,221,-0.24,408,-0.73,405,-0.99,462,0.26,166,-1.08,-0.048035635,-1.2247954
10,Allen Crabbe,SG,653,6,0.47,0.672,0.079,1.8,11,6.3,6.8,1.1,0.5,8.5,12.7,1.3,1.3,2.6,0.084,-0.5,0.6,-1.57,488,-0.66,438,-0.91,467,-1.3,503,-0.43,441,-0.87,502,-1.53,512,-0.65,485,-0.88,500,-1.31,480,-0.39,409,-0.92,476,0.24,134,0.16,150,0.08,183,-2.8,511,-1.02,468,-1.78,507,-4.33,-0.966279043,-1.41576692
